week_id,team_home_id,team_home_name,team_away_id,team_away_name
23,1,"Toulouse",2,"Roannes"
23,3,"Bayonne",4,"Villeneuve d'Arthez"
23,5,"Orthez",6,"Oloron"
23,7,"Alencon",8,"Rennes"
23,9,"Chartres",10,"Pau"
23,11,"Grenoble",12,"Brest"
24,2,"Roannes",3,"Bayonne"
24,4,"Villeneuve d'Arthez",5,"Orthez"
24,6,"Oloron",7,"Alencon"
24,8,"Rennes",9,"Chartres"
24,10,"Pau",11,"Grenoble"
24,12,"Brest",1,"Toulouse"
25,3,"Bayonne",1,"Toulouse"
25,5,"Orthez",2,"Roannes"
25,7,"Alencon",4,"Villeneuve d'Arthez"
25,9,"Chartres",6,"Oloron"
25,11,"Grenoble",8,"Rennes"
25,12,"Brest",10,"Pau"
26,4,"Villeneuve d'Arthez",1,"Toulouse"
26,6,"Oloron",3,"Bayonne"
26,8,"Rennes",5,"Orthez"
26,10,"Pau",7,"Alencon"
26,12,"Brest",9,"Chartres"
26,2,"Roannes",11,"Grenoble"
27,1,"Toulouse",5,"Orthez"
27,3,"Bayonne",7,"Alencon"
27,4,"Villeneuve d'Arthez",9,"Chartres"
27,6,"Oloron",11,"Grenoble"
27,8,"Rennes",12,"Brest"
27,2,"Roannes",10,"Pau"
28,6,"Oloron",1,"Toulouse"
28,8,"Rennes",3,"Bayonne"
28,10,"Pau",5,"Orthez"
28,12,"Brest",7,"Alencon"
28,2,"Roannes",9,"Chartres"
28,4,"Villeneuve d'Arthez",11,"Grenoble"
29,1,"Toulouse",7,"Alencon"
29,3,"Bayonne",9,"Chartres"
29,5,"Orthez",11,"Grenoble"
29,8,"Rennes",4,"Villeneuve d'Arthez"
29,10,"Pau",6,"Oloron"
29,12,"Brest",2,"Roannes"
30,8,"Rennes",1,"Toulouse"
30,10,"Pau",3,"Bayonne"
30,12,"Brest",5,"Orthez"
30,2,"Roannes",7,"Alencon"
30,4,"Villeneuve d'Arthez",9,"Chartres"
30,6,"Oloron",11,"Grenoble"
31,1,"Toulouse",9,"Chartres"
31,3,"Bayonne",11,"Grenoble"
31,5,"Orthez",4,"Villeneuve d'Arthez"
31,7,"Alencon",6,"Oloron"
31,8,"Rennes",10,"Pau"
31,2,"Roannes",12,"Brest"
32,10,"Pau",1,"Toulouse"
32,12,"Brest",3,"Bayonne"
32,2,"Roannes",5,"Orthez"
32,4,"Villeneuve d'Arthez",7,"Alencon"
32,6,"Oloron",8,"Rennes"
32,9,"Chartres",11,"Grenoble"
33,1,"Toulouse",11,"Grenoble"
33,3,"Bayonne",5,"Orthez"
33,4,"Villeneuve d'Arthez",8,"Rennes"
33,6,"Oloron",10,"Pau"
33,7,"Alencon",12,"Brest"
33,2,"Roannes",9,"Chartres"
34,2,"Roannes",1,"Toulouse"
34,4,"Villeneuve d'Arthez",3,"Bayonne"
34,6,"Oloron",5,"Orthez"
34,8,"Rennes",7,"Alencon"
34,10,"Pau",9,"Chartres"
34,12,"Brest",11,"Grenoble"
35,3,"Bayonne",2,"Roannes"
35,5,"Orthez",4,"Villeneuve d'Arthez"
35,7,"Alencon",6,"Oloron"
35,9,"Chartres",8,"Rennes"
35,11,"Grenoble",10,"Pau"
35,1,"Toulouse",12,"Brest"
36,1,"Toulouse",3,"Bayonne"
36,2,"Roannes",5,"Orthez"
36,4,"Villeneuve d'Arthez",7,"Alencon"
36,6,"Oloron",9,"Chartres"
36,8,"Rennes",11,"Grenoble"
36,10,"Pau",12,"Brest"
37,1,"Toulouse",4,"Villeneuve d'Arthez"
37,3,"Bayonne",6,"Oloron"
37,5,"Orthez",8,"Rennes"
37,7,"Alencon",10,"Pau"
37,9,"Chartres",12,"Brest"
37,11,"Grenoble",2,"Roannes"
38,5,"Orthez",1,"Toulouse"
38,7,"Alencon",3,"Bayonne"
38,9,"Chartres",4,"Villeneuve d'Arthez"
38,11,"Grenoble",6,"Oloron"
38,12,"Brest",8,"Rennes"
38,10,"Pau",2,"Roannes"
39,1,"Toulouse",6,"Oloron"
39,3,"Bayonne",8,"Rennes"
39,5,"Orthez",10,"Pau"
39,7,"Alencon",12,"Brest"
39,9,"Chartres",2,"Roannes"
39,11,"Grenoble",4,"Villeneuve d'Arthez"
40,7,"Alencon",1,"Toulouse"
40,9,"Chartres",3,"Bayonne"
40,11,"Grenoble",5,"Orthez"
40,4,"Villeneuve d'Arthez",8,"Rennes"
40,6,"Oloron",10,"Pau"
40,2,"Roannes",12,"Brest"
41,1,"Toulouse",8,"Rennes"
41,3,"Bayonne",10,"Pau"
41,5,"Orthez",12,"Brest"
41,7,"Alencon",2,"Roannes"
41,9,"Chartres",4,"Villeneuve d'Arthez"
41,11,"Grenoble",6,"Oloron"
42,9,"Chartres",1,"Toulouse"
42,11,"Grenoble",3,"Bayonne"
42,4,"Villeneuve d'Arthez",5,"Orthez"
42,6,"Oloron",7,"Alencon"
42,8,"Rennes",10,"Pau"
42,12,"Brest",2,"Roannes"
43,1,"Toulouse",10,"Pau"
43,3,"Bayonne",12,"Brest"
43,5,"Orthez",2,"Roannes"
43,7,"Alencon",4,"Villeneuve d'Arthez"
43,8,"Rennes",6,"Oloron"
43,11,"Grenoble",9,"Chartres"
44,11,"Grenoble",1,"Toulouse"
44,5,"Orthez",3,"Bayonne"
44,8,"Rennes",4,"Villeneuve d'Arthez"
44,10,"Pau",6,"Oloron"
44,12,"Brest",7,"Alencon"
44,9,"Chartres",2,"Roannes"
